gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlyCharge,HighCharge,LowTenureHighCharge
1,0,1,1,1.3218163049693654,1,2,1,2,2,2,2,0,0,2,0,1,0.9815557839637743,1.6599003993413788,1.0722553800934644,1,0
1,0,0,0,-0.26741022933725495,0,1,0,0,0,2,2,0,0,0,0,2,-0.9715455124063844,-0.5622521877037466,-0.7023456253565203,0,0
0,0,1,0,1.4440644999160286,1,2,1,0,2,2,2,0,0,2,0,1,0.8370661472425127,1.756103949661117,1.045030857674773,1,0
1,0,0,0,-1.2046463905950056,1,0,1,0,2,0,0,0,2,0,0,2,0.6410916974366633,-0.9083256719398274,-0.018703845602257036,0,0
0,0,1,0,0.6698259319204956,0,1,0,2,0,0,0,2,0,0,0,0,-0.8087870710422046,-0.10156067732153597,-0.5863566404359509,0,0
0,1,1,0,1.2810669066538112,1,0,1,2,2,2,0,0,2,1,0,0,1.0629350046458643,1.814665498679414,1.2959019212486795,1,0
1,0,0,0,-1.041648797332788,1,0,0,0,0,2,2,2,0,0,0,0,-0.023228471396724102,-0.8156380119926696,-0.11748475780310533,0,0
1,0,0,0,-0.43040782259947247,1,0,1,0,2,0,0,2,2,0,1,3,0.9367141725675209,-0.06352313835317878,1.1276669134901678,1,0
1,0,1,1,-0.06366323775948311,1,0,0,0,0,2,2,0,0,0,0,3,-0.35372775539133416,-0.2877929954941682,-0.2573732545844306,0,0
0,0,0,0,-1.0823981956483424,0,1,0,0,0,2,0,2,2,0,1,2,-0.5663102094180181,-0.8775396568649181,-0.5153255390627767,0,0
1,0,0,1,-1.2861451872261143,1,0,2,1,1,1,1,1,1,0,1,3,-1.5212704521160125,-1.0031887890550197,-1.6274215585874983,0,0
0,0,0,0,-1.0823981956483424,1,2,1,2,0,0,0,0,0,0,1,2,0.4667076531178991,-0.8206701300884257,0.08957242195655477,0,0
0,0,0,0,-0.8379018057550162,1,2,1,2,0,0,0,0,0,0,1,2,0.4916196594491511,-0.5716132458207426,0.5785753569168385,0,0
0,0,1,0,1.158818711707148,1,2,1,0,0,2,2,2,2,0,1,2,1.3735046835754727,1.9554988824160988,1.6216807596934146,1,0
0,0,0,0,0.4253295420271693,1,0,2,1,1,1,1,1,1,2,1,0,-1.5063232483172613,-0.6691572293450275,-1.3620350084736443,0,0
0,1,0,0,-0.1044126360750375,0,1,0,0,0,2,0,2,0,0,1,2,-0.820412673996789,-0.4961314743844014,-0.7034344191229964,0,0
1,0,0,0,-0.43040782259947247,1,0,0,0,2,0,2,0,0,1,1,1,-0.32715494863799877,-0.4872977998232925,-0.24418646074215336,0,0
0,0,1,1,0.7920741268671586,1,2,2,1,1,1,1,1,1,2,0,3,-1.3933888196155855,-0.46002767512096376,-1.1666523424431616,0,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,2,0,1,2,-0.29061733935216244,-0.9869058217670055,-1.0212380725350887,0,0
0,0,0,0,0.9958211184449305,1,2,1,0,2,0,2,0,2,1,0,2,0.9865381852300249,1.3919016556914172,1.143916531609667,1,0
0,0,1,0,1.607062093178246,0,1,0,0,2,2,0,2,2,2,1,2,-0.35871015665758454,0.7188283924905056,-0.17658408968650793,0,0
0,0,0,0,0.3845801437116149,1,0,1,0,2,2,2,2,2,0,1,0,1.288803862049216,0.8902500224686418,1.351615560138759,1,0
0,0,1,1,-0.715653610808353,1,0,2,1,1,1,1,1,1,0,0,3,-1.501340847051011,-0.8916691412997265,-1.3833324929317796,0,0
1,0,1,1,1.2810669066538112,1,0,1,2,2,0,0,0,0,0,0,2,0.5331396700012379,1.2452890271548036,0.6436930431378534,0,0
1,1,1,1,0.5883271352893868,1,0,1,0,2,0,0,2,0,1,1,0,0.6626821029237485,0.7542509879942559,0.7976191586413982,0,0
0,0,1,1,-1.2453957889105598,0,1,0,0,0,0,2,0,0,0,0,0,-1.1940927689655694,-0.9919599141775901,-1.4534471707775851,0,0
1,0,0,0,-1.2861451872261143,1,0,2,1,1,1,1,1,1,0,0,3,-1.488054443674343,-1.002749302758447,-1.611060330893776,0,0
1,0,0,0,-1.2861451872261143,1,0,0,2,0,0,0,0,0,0,1,3,-0.47496618620342734,-0.9893449707129833,-1.1120428862352472,0,0
0,0,1,1,1.607062093178246,1,2,1,2,2,2,2,2,2,2,1,0,1.597712740556741,2.613475791329742,1.7558562020675017,1,0
0,0,1,1,-0.022913839443928746,1,2,1,2,0,0,0,2,0,0,0,2,0.8171365421775109,0.2636744094451096,0.9358374467623225,0,0
0,1,1,0,-1.2861451872261143,1,2,1,0,0,0,0,0,0,0,1,2,0.3139140142862202,-0.9789071711693845,-0.7234637285093435,0,0
0,0,1,0,1.5663126948626918,0,1,0,2,2,2,2,0,0,2,1,0,-0.5779358123726024,0.47286988661365936,-0.4064194940887698,0,0
1,0,1,1,-0.715653610808353,1,0,1,2,0,0,0,0,0,0,0,3,0.335504419773305,-0.5055364811310548,0.41353933853126773,0,0
1,0,1,0,0.5883271352893868,1,2,1,0,0,0,0,2,2,1,1,1,1.0031461894508595,0.9937490453114852,1.169121284961979,1,0
1,0,1,1,0.058584957187179994,1,2,1,0,2,0,0,2,2,0,1,0,1.086186210555033,0.4870213453632965,1.2465449517269147,1,0
1,0,1,1,0.7105753302360499,1,2,1,0,2,2,0,2,2,0,1,0,1.2904646624712994,1.1936713616223533,1.2780116714314231,1,0
1,0,0,0,-0.9194006023861249,1,0,2,1,1,1,1,1,1,0,0,1,-1.494697645362677,-0.924300998820241,-1.3504705952628544,0,0
0,1,0,0,-1.0008993990172337,1,0,1,0,0,2,0,2,2,0,1,2,0.9001765632816843,-0.690823903766056,0.7124157930336039,1,1
1,0,1,1,-0.38965842428391806,1,0,2,1,1,1,1,1,1,1,0,3,-1.5063232483172613,-0.8196153629766515,-1.3458720986913613,0,0
1,0,0,0,-1.041648797332788,1,0,1,0,0,2,0,0,0,0,1,2,0.3288612180849715,-0.7960369231655324,0.06494293098189798,0,0
1,0,1,0,-0.38965842428391806,1,2,1,0,2,2,0,0,0,0,0,2,0.6394308970145799,-0.1466739456647117,0.7418205550275991,0,0
0,0,1,1,1.607062093178246,1,2,0,2,2,2,2,2,2,2,0,1,0.8619781535737647,1.9120336876850696,1.040422299038312,1,0
0,0,0,0,-0.1044126360750375,1,0,1,0,0,0,2,2,0,0,0,2,0.6693253046120825,0.11165609946065297,0.7563565382339844,0,0
0,1,1,0,-0.06366323775948311,0,1,0,2,2,2,0,0,2,1,1,1,-0.48493098873592827,-0.3171946287348741,-0.3257836378788069,0,0
1,0,0,0,-1.2046463905950056,1,2,1,0,2,2,0,2,2,0,0,3,1.426650297082144,-0.8738040233440512,0.6238833720686848,1,1
0,1,0,0,-0.3489090259683637,1,0,2,1,1,1,1,1,1,0,1,3,-1.4847328428301763,-0.8094852038406535,-1.3395293960887613,0,0
1,0,0,0,1.1995681100227022,1,0,0,2,2,0,0,2,2,1,1,1,0.3089316130199696,1.0531016696636128,0.4986290845022998,0,0
