Feature,Coefficient,Abs_Coefficient
MonthlyCharges,1.6097976602489403,1.6097976602489403
AvgMonthlyCharge,-1.123936901682937,1.123936901682937
tenure,-1.028241558661928,1.028241558661928
PhoneService,-0.9717958064443917,0.9717958064443917
Contract,-0.8508367603309921,0.8508367603309921
TotalCharges,0.6441837482933472,0.6441837482933472
LowTenureHighCharge,0.5147880178609464,0.5147880178609464
PaperlessBilling,0.31925285166334993,0.31925285166334993
OnlineSecurity,-0.2664104322471549,0.2664104322471549
TechSupport,-0.24388161508067493,0.24388161508067493
Dependents,-0.23452594761089207,0.23452594761089207
InternetService,0.2294357592284444,0.2294357592284444
SeniorCitizen,0.22013692866265305,0.22013692866265305
OnlineBackup,-0.14924040393194793,0.14924040393194793
MultipleLines,0.1417653125211073,0.1417653125211073
PaymentMethod,0.06504909046888695,0.06504909046888695
DeviceProtection,-0.042193330766387364,0.042193330766387364
HighCharge,-0.03827317424848933,0.03827317424848933
gender,-0.03658724267126429,0.03658724267126429
StreamingTV,0.028798864642195932,0.028798864642195932
StreamingMovies,0.018708276947296792,0.018708276947296792
Partner,0.01582913317212333,0.01582913317212333
